0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-0.10891432,-0.022425512,0.29544035,-0.26,0.0,0.29903182,0.014555295,0.35033262,-0.26,0.0,-0.04366262,0.15761396,0.047100373,0.040993072,1.1542776,0.14487334,-0.15914011,-0.025148569,0.994726
-0.11249849,-0.021742381,0.29419267,-0.26,0.0,0.29940242,0.014907415,0.3484886,-0.26,0.0,-0.04310162,0.15866107,0.046415295,0.042920414,1.1513176,0.14507203,-0.15880854,-0.022316234,0.9947282
-0.11307923,-0.021691317,0.29364195,-0.26,0.0,0.2999201,0.014858068,0.34812242,-0.26,0.0,-0.05792989,0.13510881,0.03623295,0.040799446,1.1398684,0.15251157,-0.16118735,-0.0199959,0.9989776
-0.11367698,-0.021641564,0.29310203,-0.26,0.0,0.30008623,0.014791355,0.34788585,-0.26,0.0,-0.043286067,0.1582292,0.045193844,0.043313246,1.1499404,0.14591931,-0.15891303,-0.016987288,0.99690396
-0.114513494,-0.021601938,0.29276818,-0.26,0.0,0.29972407,0.014791615,0.347893,-0.26,0.0,-0.058513112,0.13451484,0.035144355,0.041476805,1.1388888,0.15344949,-0.16107613,-0.016504873,1.0010874
-0.115792885,-0.021630036,0.29259554,-0.26,0.0,0.29943034,0.014835666,0.34807342,-0.26,0.0,-0.05878381,0.13429134,0.03469492,0.04206872,1.1388712,0.15386641,-0.16096939,-0.016216507,1.0023057
-0.117710195,-0.021729948,0.2926777,-0.26,0.0,0.29931027,0.015003966,0.3483994,-0.26,0.0,-0.04412542,0.15745723,0.043940287,0.044542324,1.149793,0.14734402,-0.1587878,-0.015645385,1.0007046
-0.12012908,-0.021904554,0.29303977,-0.26,0.0,0.29891053,0.015254918,0.34885216,-0.26,0.0,-0.058412302,0.1340723,0.03413674,0.04171593,1.1397566,0.15424173,-0.16095091,-0.01640167,1.0050733
-0.12259711,-0.02209373,0.2934684,-0.26,0.0,0.29819217,0.015485294,0.34928918,-0.26,0.0,-0.043311153,0.15740308,0.043609418,0.04373276,1.1510051,0.14764173,-0.1588985,-0.015916238,1.0030138
-0.12408037,-0.022134876,0.29374045,-0.26,0.0,0.29758102,0.015680319,0.34959188,-0.26,0.0,-0.057178788,0.1343504,0.03401487,0.04089409,1.1410283,0.15454726,-0.1610635,-0.016781854,1.0059628
-0.12406241,-0.021955179,0.2937637,-0.26,0.0,0.2972899,0.01585598,0.34967893,-0.26,0.0,-0.041995954,0.15781935,0.043573294,0.042497437,1.1522019,0.14809617,-0.15919673,-0.016049558,1.0022789
-0.12340886,-0.021619553,0.29356843,-0.26,0.0,0.29690948,0.016005225,0.34949598,-0.26,0.0,-0.055827018,0.13533397,0.034322996,0.039313357,1.1425273,0.15493424,-0.16152002,-0.016544338,1.0040157
-0.122864194,-0.021234263,0.2932329,-0.26,0.0,0.29608697,0.016087366,0.34915406,-0.26,0.0,-0.041420378,0.15846068,0.04377782,0.040764038,1.1540742,0.14829782,-0.15960607,-0.016059827,0.99968743
-0.12262638,-0.020905133,0.29291877,-0.26,0.0,0.29516658,0.01615339,0.34888655,-0.26,0.0,-0.04155289,0.15854605,0.04389736,0.040186413,1.1554445,0.14811134,-0.15970482,-0.016610008,0.9983358
-0.12284447,-0.020656636,0.2928619,-0.26,0.0,0.29453596,0.016329052,0.34883317,-0.26,0.0,-0.055558786,0.13630748,0.035059527,0.03763477,1.1465876,0.1544061,-0.16190253,-0.017831918,1.0001777
-0.123497486,-0.020503707,0.2930633,-0.26,0.0,0.2941845,0.01659299,0.34894672,-0.26,0.0,-0.05529827,0.1363617,0.035242714,0.037019614,1.1477398,0.15409015,-0.16193542,-0.018309152,0.9993182
