0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-0.15961756,-0.033631187,0.21814746,-0.22123964,0.0,0.22439276,-0.05015793,0.28947484,-0.26,0.0,-0.017534146,0.03741341,0.05644566,0.0760603,1.2592927,0.07259436,-0.22219239,0.03610137,1.05817
-0.16039497,-0.033141445,0.21710205,-0.22077964,0.0,0.22467656,-0.049958162,0.28860646,-0.26,0.0,-0.01733206,0.03748245,0.056440637,0.07677543,1.2582824,0.07267862,-0.22212975,0.035997726,1.0570965
-0.16050471,-0.03309699,0.21684167,-0.2206874,0.0,0.22477454,-0.049956586,0.28844398,-0.26,0.0,-0.017087353,0.037451502,0.056508318,0.07674314,1.2579691,0.07260444,-0.22258179,0.0364593,1.0565703
-0.16052441,-0.03306255,0.21684113,-0.22061437,0.0,0.22470543,-0.04988547,0.28846517,-0.26,0.0,-0.01685035,0.0373726,0.056612153,0.076730356,1.2577401,0.07256104,-0.22308554,0.037254278,1.0561432
-0.1604633,-0.033094026,0.2169115,-0.22049393,0.0,0.22465129,-0.04983616,0.28865048,-0.26,0.0,-0.016672095,0.037302412,0.05674147,0.07672652,1.2575166,0.07259023,-0.22330882,0.037574403,1.0558176
-0.16041267,-0.033157885,0.21686952,-0.22030884,0.0,0.22463259,-0.04985097,0.28881034,-0.26,0.0,-0.01659302,0.03723589,0.056905292,0.07676275,1.2573017,0.07265626,-0.22336163,0.037623677,1.055531
-0.16042306,-0.03319899,0.21670888,-0.22009306,0.0,0.22456446,-0.049904507,0.28880987,-0.26,0.0,-0.016557911,0.037176333,0.057096746,0.076918624,1.2570868,0.07273034,-0.22341277,0.037785023,1.0553058
-0.16044585,-0.03323113,0.21650097,-0.21988122,0.0,0.2245248,-0.04996759,0.28874746,-0.26,0.0,-0.016534667,0.037123907,0.05727408,0.077231474,1.2568637,0.07283701,-0.22351463,0.03813397,1.0551549
-0.1604428,-0.033275947,0.21631394,-0.21974966,0.0,0.22464319,-0.050024237,0.28875017,-0.26,0.0,-0.016583465,0.03706195,0.05736748,0.07762522,1.2567046,0.07295714,-0.22360544,0.038468894,1.0550458
-0.16047873,-0.03327482,0.21615013,-0.21975745,0.0,0.22483198,-0.05005383,0.28871492,-0.26,0.0,-0.016701799,0.03700539,0.057392962,0.07779814,1.2565888,0.07303143,-0.22366035,0.038710963,1.0550121
-0.16060865,-0.033209275,0.21587443,-0.21973269,0.0,0.22495618,-0.050088286,0.28845912,-0.26,0.0,-0.016762197,0.03697306,0.05741688,0.07758092,1.2564607,0.07305528,-0.22368729,0.038921576,1.0550243
-0.16074292,-0.033165727,0.21553747,-0.21968614,0.0,0.22505465,-0.0501788,0.2880731,-0.26,0.0,-0.016713241,0.036973096,0.057449635,0.07718033,1.256369,0.073052295,-0.22369778,0.03912468,1.0550114
-0.16078092,-0.03319418,0.21531373,-0.219708,0.0,0.22521868,-0.050293706,0.2878061,-0.26,0.0,-0.01667399,0.036981817,0.057457034,0.07678523,1.2563827,0.07303134,-0.22370045,0.03927809,1.0549331
-0.16077812,-0.033237763,0.21514039,-0.21970704,0.0,0.2254207,-0.05038492,0.28766206,-0.26,0.0,-0.016821668,0.036950912,0.05743939,0.076346524,1.2564212,0.07300227,-0.22374171,0.039417263,1.0547769
-0.16083908,-0.03323063,0.2149249,-0.21965358,0.0,0.22558038,-0.050436944,0.28750426,-0.26,0.0,-0.017138308,0.036899682,0.057414003,0.07586407,1.2564316,0.0729633,-0.22384034,0.039443485,1.0546161
-0.16098437,-0.033177786,0.21461485,-0.21950443,0.0,0.22567914,-0.050477713,0.28724784,-0.26,0.0,-0.017448336,0.036812317,0.057350498,0.07538876,1.2563753,0.07288509,-0.22373605,0.03870159,1.0546376
-0.16116984,-0.033109635,0.21417227,-0.21919407,0.0,0.2257496,-0.05050949,0.2869167,-0.26,0.0,-0.017760433,0.036669385,0.05726312,0.07491375,1.2562692,0.07281438,-0.22351998,0.03756637,1.0547978
-0.16133368,-0.033038143,0.21372539,-0.2188449,0.0,0.22582428,-0.050515667,0.28660816,-0.26,0.0,-0.018128894,0.036429856,0.057196844,0.074513845,1.2562718,0.07278314,-0.22350314,0.036850005,1.0550487
