0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-0.14858723,-0.03880233,0.22324651,-0.2277549,0.0,0.20053135,-0.033985775,0.28692344,-0.26,0.0,-0.047744524,0.16377145,0.13482228,0.0589448,1.1832864,0.12072557,-0.26754728,-0.034686755,1.0345476
-0.14989136,-0.0379875,0.22182561,-0.22659403,0.0,0.20038489,-0.03323044,0.28565603,-0.26,0.0,-0.0567871,0.14923377,0.13137738,0.058919363,1.1742516,0.12188533,-0.26774144,-0.03437327,1.035463
-0.15004955,-0.038086873,0.22137159,-0.22598334,0.0,0.20029575,-0.03309767,0.28544334,-0.26,0.0,-0.05679068,0.14944041,0.13131924,0.05856619,1.1743189,0.12185197,-0.26781347,-0.034348827,1.0357612
-0.15021281,-0.03806701,0.22113644,-0.225644,0.0,0.2001986,-0.03296002,0.28529823,-0.26,0.0,-0.056855317,0.14949304,0.13123775,0.05843015,1.1746154,0.12190479,-0.26786307,-0.034539476,1.0359876
-0.15031356,-0.038011614,0.22104993,-0.22556789,0.0,0.2001843,-0.03286507,0.2852682,-0.26,0.0,-0.047726694,0.16485274,0.13465072,0.05972671,1.1822803,0.12048517,-0.2675934,-0.03471799,1.0354898
-0.15034257,-0.03798706,0.22099063,-0.22562602,0.0,0.20025784,-0.032823775,0.28533155,-0.26,0.0,-0.056998067,0.14903119,0.13077651,0.059107374,1.1757467,0.122198746,-0.26811633,-0.034911685,1.0361953
-0.15047063,-0.03788797,0.22080998,-0.22566986,0.0,0.200335,-0.032794062,0.2852611,-0.26,0.0,-0.04798778,0.16430119,0.1340752,0.060019962,1.1830661,0.120922245,-0.26795232,-0.034717217,1.0353845
-0.15072748,-0.03770356,0.22054172,-0.22562972,0.0,0.20036103,-0.032721832,0.28507602,-0.26,0.0,-0.048174523,0.16418129,0.1337132,0.059714936,1.1831028,0.121208005,-0.26801392,-0.034895554,1.0351365
-0.15105018,-0.03745441,0.22029299,-0.22547227,0.0,0.2003254,-0.03254533,0.2849286,-0.26,0.0,-0.048468504,0.16403177,0.13318777,0.059478287,1.1832876,0.12141384,-0.2678947,-0.03528873,1.0349817
-0.15133125,-0.037229087,0.22008467,-0.22523257,0.0,0.20026411,-0.0323479,0.28484967,-0.26,0.0,-0.05772002,0.14843677,0.12898716,0.05821869,1.176849,0.12307901,-0.2680198,-0.03560628,1.0354595
