0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
-0.15196377,-0.037469808,0.21182144,-0.26,0.0,0.2061133,-0.030626686,0.2783599,-0.26,0.0,-0.06921649,0.04846116,0.070010215,0.23216805,1.1622988,0.070593454,-0.22208068,-0.20306632,1.0830534
-0.1535766,-0.03614036,0.21107201,-0.26,0.0,0.20572242,-0.029723227,0.27709612,-0.26,0.0,-0.0591412,0.06652145,0.07337507,0.23797375,1.1640493,0.07009099,-0.22070059,-0.20320334,1.0817734
-0.15371251,-0.036077634,0.21097612,-0.26,0.0,0.20569809,-0.029679375,0.27707276,-0.26,0.0,-0.06839115,0.051250175,0.06973577,0.24065435,1.156074,0.072253846,-0.2202847,-0.20409568,1.0814788
-0.15371077,-0.036172096,0.2109586,-0.26,0.0,0.20566647,-0.02971828,0.27727294,-0.26,0.0,-0.06822126,0.052573282,0.06975245,0.2472814,1.1552743,0.073456205,-0.21959676,-0.20507091,1.0805957
-0.15349795,-0.036450014,0.21107554,-0.26,0.0,0.20559919,-0.029830765,0.27774918,-0.26,0.0,-0.06816612,0.05367228,0.06965933,0.2550113,1.1551503,0.07467533,-0.21902731,-0.20658576,1.0797578
-0.15316573,-0.036847614,0.21118219,-0.26,0.0,0.20555793,-0.030011721,0.27831897,-0.26,0.0,-0.06814924,0.054739922,0.06963581,0.26134402,1.1553184,0.075797506,-0.2186343,-0.2088157,1.0794746
-0.15284143,-0.03726826,0.21117546,-0.26,0.0,0.20557202,-0.030230327,0.27882102,-0.26,0.0,-0.06802681,0.056099597,0.0697324,0.26408088,1.1549833,0.07676565,-0.21847971,-0.21158291,1.0800786
-0.1524943,-0.03767881,0.21118107,-0.26,0.0,0.20557673,-0.030444443,0.2793295,-0.26,0.0,-0.06787294,0.057565734,0.06980587,0.26385283,1.1545819,0.07748501,-0.21862327,-0.21394931,1.0815338
-0.15227468,-0.037901442,0.21119846,-0.26,0.0,0.20556892,-0.030560812,0.27963087,-0.26,0.0,-0.06766841,0.058488633,0.069749095,0.26333767,1.1547179,0.0778618,-0.21889335,-0.21446408,1.0829566
-0.1519503,-0.03817641,0.21129613,-0.26,0.0,0.20550595,-0.030687828,0.28010744,-0.26,0.0,-0.06741232,0.05942949,0.06947504,0.26253018,1.1552105,0.07810828,-0.21948546,-0.2136352,1.0851842
-0.15157999,-0.03844487,0.21147321,-0.26,0.0,0.20539702,-0.030795716,0.2806548,-0.26,0.0,-0.067037515,0.06013248,0.0689226,0.26169184,1.1559565,0.078174524,-0.22024594,-0.21072884,1.0876446
-0.15105623,-0.038789883,0.2118503,-0.26,0.0,0.20521465,-0.030913109,0.28141433,-0.26,0.0,-0.057110634,0.07708627,0.071368374,0.26248944,1.164658,0.07679954,-0.22095236,-0.20466948,1.08991
-0.15051344,-0.039054316,0.21239927,-0.26,0.0,0.20493387,-0.030923301,0.2821551,-0.26,0.0,-0.066143036,0.06031581,0.06732167,0.2605922,1.1606963,0.07755936,-0.22172734,-0.19605696,1.0916324
-0.15025848,-0.039133348,0.21275224,-0.26,0.0,0.20474322,-0.030869808,0.28250274,-0.26,0.0,-0.065625265,0.06030602,0.06672676,0.2603102,1.1627187,0.07733184,-0.22119938,-0.19041339,1.0909777
-0.15009871,-0.03915478,0.21317485,-0.26,0.0,0.20451213,-0.030763578,0.28283554,-0.26,0.0,-0.06518449,0.06029942,0.066212654,0.25935695,1.1649691,0.07708749,-0.22002038,-0.18442209,1.0887806
