0,1,2
0.030596565,0.043204173,1.050434
0.030125935,0.042480037,1.0502136
0.029532779,0.041493997,1.0500537
0.029043738,0.040453598,1.0498772
0.028721197,0.03947641,1.0497221
0.028517153,0.03854941,1.0496188
0.02838204,0.037644163,1.0495571
0.028294057,0.03678654,1.049489
0.02826873,0.03596796,1.0494088
0.028345248,0.035183415,1.04935
0.028492974,0.03448488,1.0493294
0.028649354,0.033863053,1.0493332
0.028819162,0.0332551,1.0493292
0.029046014,0.032654107,1.0493059
0.0293028,0.03204733,1.049277
0.02954388,0.03145352,1.0492601
0.029761206,0.030907929,1.0492572
0.029987503,0.030397028,1.0492569
0.030281082,0.029910132,1.0492605
0.030661039,0.02943997,1.0492712
0.031114712,0.028993025,1.0492917
0.031593427,0.028542593,1.0493251
0.03211282,0.02808784,1.049374
0.03272158,0.027631864,1.0494299
0.033453487,0.027176484,1.049491
0.034287028,0.026723936,1.0495697
0.03520336,0.026244268,1.0496746
0.03626333,0.02570805,1.0498084
0.037608728,0.025163114,1.0499841
0.03936946,0.024632022,1.050223
0.04159943,0.024138153,1.0505724
0.04435883,0.02373892,1.0510886
0.047799453,0.023330212,1.0517247
0.052119963,0.022853002,1.0523711
0.057077263,0.02296868,1.0533044
0.06325376,0.023121849,1.0538902
0.07058475,0.023291811,1.0542494
0.07915431,0.023407027,1.0542414
0.08890658,0.023396075,1.0537215
0.09970436,0.023323148,1.0525124
0.111331746,0.023354843,1.0502791
0.123431094,0.023463532,1.0465417
0.13548738,0.023555845,1.0409039
0.14689937,0.023674369,1.0332178
0.15720597,0.023983404,1.0234041
0.16591102,0.024874583,1.0109926
0.17343709,0.026150003,0.9969025
0.17918453,0.027847335,0.98097664
0.18321925,0.029902384,0.9636983
0.18576254,0.032241732,0.9454096
0.18710957,0.03484419,0.92642033
0.18759109,0.037653834,0.9070723
0.18681446,0.04076162,0.8877819
0.1864435,0.044130623,0.8677953
0.18602511,0.047720283,0.8476973
0.18577072,0.05141239,0.8277374
0.18588486,0.055070177,0.808239
0.18645608,0.058602706,0.7897113
0.18726152,0.062035933,0.77261627
0.1880467,0.06526397,0.75714403
0.188764,0.06820251,0.74353385
0.1894966,0.070873454,0.73224545
0.1902898,0.0730959,0.72366256
0.19112226,0.07477777,0.7179488
0.19207624,0.076112196,0.71500695
0.19314137,0.07725285,0.7146398
0.19409484,0.078129634,0.71655846
0.19506246,0.07885733,0.7204422
0.19597802,0.0795207,0.72588897
0.19666831,0.07988882,0.73255926
0.19712663,0.080061585,0.7402871
0.19728698,0.07998985,0.74893916
0.19706935,0.07962605,0.75845295
0.19640914,0.07894592,0.7688471
0.1952835,0.07795189,0.7800644
0.19369176,0.07663064,0.7920661
0.19159055,0.07504384,0.8050287
0.18908286,0.073317334,0.81917787
0.18634787,0.071497455,0.83458304
0.18335998,0.069599316,0.8511868
0.18001315,0.06761585,0.8688724
0.17620853,0.0655307,0.8874898
0.17187428,0.06340437,0.9068162
0.16703892,0.061298236,0.9265447
0.16176939,0.059773162,0.9460751
0.15570799,0.057151362,0.96550995
0.14916945,0.054604024,0.984051
0.14212884,0.051983267,1.0012584
0.1346462,0.04931867,1.0167799
0.12691166,0.0467526,1.0301863
0.119120464,0.044317603,1.0410407
0.11137416,0.042060286,1.0492009
0.10377105,0.040033564,1.0548002
0.09623915,0.03800474,1.0580583
0.0891812,0.035998628,1.05976
0.08232614,0.034081563,1.060522
0.07556435,0.03233622,1.0607077
0.06879204,0.030743375,1.0604548
0.061901204,0.029171005,1.0597546
0.05505041,0.027544037,1.0586338
0.04856106,0.025979176,1.0573032
0.04265888,0.024570405,1.0560865
0.037444774,0.023382291,1.0551685
0.03289433,0.022439927,1.0545417
0.028769638,0.021747261,1.0540528
0.02489595,0.02125734,1.0535387
0.021362972,0.02090934,1.0529124
0.018352883,0.020709857,1.0522028
0.016068434,0.020688042,1.0514601
0.014432436,0.020872772,1.0507971
0.0132147325,0.021291122,1.0503783
0.012545379,0.0217617,1.0501432
0.012505097,0.022226125,1.0499091
0.012863398,0.022780359,1.0496488
0.013333793,0.023464158,1.0494409
0.0138499215,0.024199829,1.0493109
0.014428521,0.024908245,1.0492681
0.015086168,0.025556073,1.0493124
0.01581899,0.026174262,1.0494064
0.016608428,0.02680336,1.0495081
0.017431198,0.027442947,1.0496049
0.018254526,0.028087452,1.049688
0.019056085,0.028712153,1.0497584
0.019814672,0.02927354,1.0498
0.020544408,0.029778957,1.0498211
0.021277247,0.03028518,1.0498654
0.021954682,0.030738741,1.0499201
0.022577493,0.031094015,1.0499892
0.023158394,0.03134574,1.0500337
0.023712354,0.03151591,1.0500382
0.024262313,0.031633243,1.0500171
0.024807718,0.03173487,1.0499946
0.025335455,0.031833842,1.0499854
0.025882237,0.031916305,1.0500051
0.026500331,0.031964257,1.0500623
0.027278041,0.031891122,1.0501504
0.028188957,0.03166257,1.0502813
0.029039789,0.03131689,1.050432
0.029721335,0.030924305,1.0505518
0.03028638,0.030524477,1.0506394
0.030789591,0.030130148,1.0506986
0.031221475,0.029774755,1.0507306
0.031567704,0.029495656,1.0507418
0.031844474,0.029322177,1.0507748
0.032020148,0.029236943,1.050811
